seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
388,0,16640,4096,12.848,7.776,30029.3,30000.0,1,2eb80be
389,1,16640,4096,12.272,7.296,34912.1,35000.0,1,2eb80be
390,2,16640,4096,12.592,7.520,40039.1,40000.0,1,2eb80be
391,3,16640,4096,12.256,7.328,44921.9,45000.0,1,2eb80be
392,0,16640,4096,13.120,8.192,50048.8,50000.0,1,2eb80be
393,1,16640,4096,14.912,9.088,54931.6,55000.0,1,2eb80be
394,2,16640,4096,12.000,7.296,60058.6,60000.0,1,2eb80be
395,3,16640,4096,13.952,8.224,64941.4,65000.0,1,2eb80be
396,0,16640,4096,12.241,7.360,70068.4,70000.0,1,2eb80be
397,1,16640,4096,13.392,8.096,74951.2,75000.0,1,2eb80be
398,2,16640,4096,18.352,12.320,80078.1,80000.0,1,2eb80be
399,3,16640,4096,13.920,7.968,84960.9,85000.0,1,2eb80be
400,0,16640,4096,13.024,8.128,10009.8,10000.0,1,2eb80be
401,1,16640,4096,14.208,9.376,14892.6,15000.0,1,2eb80be
402,2,16640,4096,12.496,7.552,20019.5,20000.0,1,2eb80be
403,3,16640,4096,14.016,9.152,24902.3,25000.0,1,2eb80be
404,0,16640,4096,12.480,6.656,30029.3,30000.0,1,2eb80be
405,1,16640,4096,13.488,8.576,34912.1,35000.0,1,2eb80be
406,2,16640,4096,12.176,7.168,40039.1,40000.0,1,2eb80be
407,3,16640,4096,13.536,8.768,44921.9,45000.0,1,2eb80be
408,0,16640,4096,12.704,7.360,50048.8,50000.0,1,2eb80be
409,1,16640,4096,12.832,7.872,54931.6,55000.0,1,2eb80be
410,2,16640,4096,12.576,7.488,60058.6,60000.0,1,2eb80be
411,3,16640,4096,12.496,7.616,64941.4,65000.0,1,2eb80be
412,0,16640,4096,12.592,7.424,70068.4,70000.0,1,2eb80be
413,1,16640,4096,12.224,7.136,74951.2,75000.0,1,2eb80be
414,2,16640,4096,12.304,7.328,80078.1,80000.0,1,2eb80be
415,3,16640,4096,14.000,8.960,84960.9,85000.0,1,2eb80be
416,0,16640,4096,12.256,7.296,10009.8,10000.0,1,2eb80be
417,1,16640,4096,13.920,8.864,14892.6,15000.0,1,2eb80be
418,2,16640,4096,12.560,7.488,20019.5,20000.0,1,2eb80be
419,3,16640,4096,14.016,9.088,24902.3,25000.0,1,2eb80be
420,0,16640,4096,14.208,9.120,30029.3,30000.0,1,2eb80be
421,1,16640,4096,12.368,7.520,34912.1,35000.0,1,2eb80be
422,2,16640,4096,12.192,7.168,40039.1,40000.0,1,2eb80be
423,3,16640,4096,12.384,7.200,44921.9,45000.0,1,2eb80be
424,0,16640,4096,13.744,8.672,50048.8,50000.0,1,2eb80be
425,1,16640,4096,14.400,9.312,54931.6,55000.0,1,2eb80be
426,2,16640,4096,13.776,8.736,60058.6,60000.0,1,2eb80be
427,3,16640,4096,14.064,8.800,64941.4,65000.0,1,2eb80be
428,0,16640,4096,13.920,8.768,70068.4,70000.0,1,2eb80be
429,1,16640,4096,14.864,8.576,74951.2,75000.0,1,2eb80be
430,2,16640,4096,15.232,9.504,80078.1,80000.0,1,2eb80be
431,3,16640,4096,13.488,7.904,84960.9,85000.0,1,2eb80be
432,0,16640,4096,13.440,8.064,10009.8,10000.0,1,2eb80be
433,1,16640,4096,18.689,7.392,14892.6,15000.0,1,2eb80be
