arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
mgdwrite,1048576,4096,4,182.016,66.304,248.320,75.648,62.080,200,managed, preferred location = GPU,50ce845
device,1048576,4096,4,111.345,40.736,152.081,55.392,38.020,200,-,50ce845
hostalloc,1048576,4096,4,160.129,58.464,218.593,61.632,54.648,200,-,50ce845
heapreg,1048576,4096,4,233.104,66.368,299.472,71.040,74.868,200,-,50ce845
shmreg,1048576,4096,4,209.808,64.576,274.384,69.600,68.596,200,-,50ce845
hugereg,1048576,4096,4,198.033,65.344,263.377,67.744,65.844,200,THP,50ce845
mgdwrite,1048576,4096,5,180.272,66.144,246.416,76.512,61.604,200,managed, preferred location = GPU,50ce845
device,1048576,4096,5,101.392,40.096,141.488,48.608,35.372,200,-,50ce845
hostalloc,1048576,4096,5,159.008,58.528,217.536,60.736,54.384,200,-,50ce845
heapreg,1048576,4096,5,241.745,61.152,302.897,68.544,75.724,200,-,50ce845
shmreg,1048576,4096,5,209.601,64.768,274.369,73.888,68.592,200,-,50ce845
hugereg,1048576,4096,5,196.224,65.056,261.280,67.104,65.320,200,THP,50ce845
