e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
23.728,8.928,7.648,3.45246e+08,42144.3,1380.98,1.02386,0,8192,0
27.233,9.856,7.264,3.00812e+08,36720.2,1203.25,1.02386,0,8192,0
23.056,9.44,6.688,3.55309e+08,43372.7,1421.24,1.02386,0,8192,0
24.272,10.048,7.136,3.37508e+08,41199.7,1350.03,1.02386,0,8192,0
24.016,8.96,6.912,3.41106e+08,41638.9,1364.42,1.02386,0,8192,0
23.312,9.088,7.104,3.51407e+08,42896.4,1405.63,1.02386,0,8192,0
22.944,9.28,6.752,3.57043e+08,43584.4,1428.17,1.02386,0,8192,0
24.256,10.336,6.912,3.37731e+08,41226.9,1350.92,1.02386,0,8192,0
25.168,10.784,7.36,3.25493e+08,39733,1301.97,1.02386,0,8192,0
24.768,9.088,7.648,3.30749e+08,40374.7,1323,1.02386,0,8192,0
23.504,9.184,7.136,3.48536e+08,42545.9,1394.15,1.02386,0,8192,0
23.2,8.864,7.2,3.53103e+08,43103.4,1412.41,1.02386,0,8192,0
24.24,10.112,6.976,3.37954e+08,41254.1,1351.82,1.02386,0,8192,0
25.12,10.464,7.456,3.26115e+08,39808.9,1304.46,1.02386,0,8192,0
24.016,9.696,7.296,3.41106e+08,41638.9,1364.42,1.02386,0,8192,0
23.184,9.024,7.136,3.53347e+08,43133.2,1413.39,1.02386,0,8192,0
27.216,9.152,7.584,3.00999e+08,36743.1,1204,1.02386,0,8192,0
23.264,9.12,7.136,3.52132e+08,42984.9,1408.53,1.02386,0,8192,0
23.152,9.152,6.816,3.53836e+08,43192.8,1415.34,1.02386,0,8192,0
24.208,9.92,6.72,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
23.184,9.024,7.136,3.53347e+08,43133.2,1413.39,1.02386,0,8192,0
27.344,9.152,11.008,2.9959e+08,36571.1,1198.36,1.02386,0,8192,0
23.12,9.216,6.912,3.54325e+08,43252.6,1417.3,1.02386,0,8192,0
