arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
shmreg_big,262144,1024,5,35.264,23.968,59.232,24.512,59.232,200,registration span rounded up to 2 MB,6070ae1
hostalloc,524288,2048,1,24.032,32.416,56.448,34.240,28.224,200,-,6070ae1
ha_def,524288,2048,1,24.688,32.448,57.136,33.856,28.568,200,cudaHostAlloc Default,6070ae1
ha_wc,524288,2048,1,24.352,32.608,56.960,34.336,28.480,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,524288,2048,1,24.576,32.640,57.216,34.016,28.608,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,524288,2048,1,34.752,34.528,69.280,36.416,34.640,200,-,6070ae1
shmreg_def,524288,2048,1,33.456,34.016,67.472,35.712,33.736,200,cudaHostRegister Default,6070ae1
shmreg_port,524288,2048,1,30.112,35.200,65.312,36.832,32.656,200,cudaHostRegister Portable,6070ae1
shmreg_big,524288,2048,1,36.016,34.720,70.736,36.640,35.368,200,registration span rounded up to 2 MB,6070ae1
hostalloc,524288,2048,2,23.216,32.352,55.568,33.536,27.784,200,-,6070ae1
ha_def,524288,2048,2,23.840,32.128,55.968,33.824,27.984,200,cudaHostAlloc Default,6070ae1
ha_wc,524288,2048,2,23.456,32.448,55.904,33.984,27.952,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,524288,2048,2,23.807,32.736,56.543,34.496,28.271,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,524288,2048,2,34.560,34.560,69.120,36.384,34.560,200,-,6070ae1
shmreg_def,524288,2048,2,33.424,34.112,67.536,36.224,33.768,200,cudaHostRegister Default,6070ae1
shmreg_port,524288,2048,2,30.064,35.360,65.424,36.768,32.712,200,cudaHostRegister Portable,6070ae1
shmreg_big,524288,2048,2,35.952,34.912,70.864,36.832,35.432,200,registration span rounded up to 2 MB,6070ae1
hostalloc,524288,2048,3,23.152,32.384,55.536,33.600,27.768,200,-,6070ae1
ha_def,524288,2048,3,23.776,32.672,56.448,33.824,28.224,200,cudaHostAlloc Default,6070ae1
ha_wc,524288,2048,3,23.360,32.544,55.904,34.208,27.952,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,524288,2048,3,23.664,32.096,55.760,33.664,27.880,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,524288,2048,3,34.544,34.592,69.136,36.384,34.568,200,-,6070ae1
shmreg_def,524288,2048,3,33.408,34.016,67.424,36.160,33.712,200,cudaHostRegister Default,6070ae1
shmreg_port,524288,2048,3,30.080,35.456,65.536,36.736,32.768,200,cudaHostRegister Portable,6070ae1
shmreg_big,524288,2048,3,35.952,34.752,70.704,36.448,35.352,200,registration span rounded up to 2 MB,6070ae1
hostalloc,524288,2048,4,23.120,32.512,55.632,33.600,27.816,200,-,6070ae1
ha_def,524288,2048,4,23.744,32.128,55.872,33.824,27.936,200,cudaHostAlloc Default,6070ae1
ha_wc,524288,2048,4,23.296,32.800,56.096,34.304,28.048,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,524288,2048,4,23.696,32.640,56.336,33.920,28.168,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,524288,2048,4,34.640,34.272,68.912,36.256,34.456,200,-,6070ae1
shmreg_def,524288,2048,4,33.488,33.760,67.248,36.000,33.624,200,cudaHostRegister Default,6070ae1
shmreg_port,524288,2048,4,30.144,35.392,65.536,36.736,32.768,200,cudaHostRegister Portable,6070ae1
shmreg_big,524288,2048,4,36.064,34.816,70.880,36.704,35.440,200,registration span rounded up to 2 MB,6070ae1
hostalloc,524288,2048,5,23.152,32.384,55.536,34.336,27.768,200,-,6070ae1
ha_def,524288,2048,5,23.776,32.672,56.448,33.888,28.224,200,cudaHostAlloc Default,6070ae1
ha_wc,524288,2048,5,23.312,32.928,56.240,33.664,28.120,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,524288,2048,5,23.696,32.384,56.080,33.984,28.040,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,524288,2048,5,34.624,35.200,69.824,36.448,34.912,200,-,6070ae1
shmreg_def,524288,2048,5,33.584,34.080,67.664,35.840,33.832,200,cudaHostRegister Default,6070ae1
shmreg_port,524288,2048,5,30.224,35.360,65.584,36.832,32.792,200,cudaHostRegister Portable,6070ae1
shmreg_big,524288,2048,5,36.128,34.784,70.912,36.544,35.456,200,registration span rounded up to 2 MB,6070ae1
hostalloc,1048576,4096,1,63.120,50.144,113.264,53.824,28.316,200,-,6070ae1
ha_def,1048576,4096,1,65.936,48.512,114.448,49.472,28.612,200,cudaHostAlloc Default,6070ae1
ha_wc,1048576,4096,1,63.152,50.304,113.456,53.472,28.364,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,1048576,4096,1,63.888,48.992,112.880,50.592,28.220,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,1048576,4096,1,98.767,63.712,162.479,64.864,40.620,200,-,6070ae1
shmreg_def,1048576,4096,1,99.408,65.728,165.136,68.448,41.284,200,cudaHostRegister Default,6070ae1
shmreg_port,1048576,4096,1,97.839,65.024,162.863,66.368,40.716,200,cudaHostRegister Portable,6070ae1
shmreg_big,1048576,4096,1,101.488,65.088,166.576,66.752,41.644,200,registration span rounded up to 4 MB,6070ae1
hostalloc,1048576,4096,2,63.472,48.960,112.432,50.496,28.108,200,-,6070ae1
ha_def,1048576,4096,2,64.032,49.312,113.344,51.520,28.336,200,cudaHostAlloc Default,6070ae1
ha_wc,1048576,4096,2,62.896,49.824,112.720,53.152,28.180,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,1048576,4096,2,63.632,49.056,112.688,51.296,28.172,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,1048576,4096,2,98.160,63.872,162.032,65.696,40.508,200,-,6070ae1
shmreg_def,1048576,4096,2,99.696,65.856,165.552,67.520,41.388,200,cudaHostRegister Default,6070ae1
shmreg_port,1048576,4096,2,99.456,64.960,164.416,66.976,41.104,200,cudaHostRegister Portable,6070ae1
shmreg_big,1048576,4096,2,101.344,65.312,166.656,67.040,41.664,200,registration span rounded up to 4 MB,6070ae1
