arm,size,kb,rep,fft_p50,fft_p90,us_per_mb,n,note,gitsha
device,1048576,4096,4,47.584,49.568,11.896,200,-,50ce845
hostalloc,1048576,4096,4,53.696,55.584,13.424,200,-,50ce845
heapreg,1048576,4096,4,53.632,54.880,13.408,200,-,50ce845
shmreg,1048576,4096,4,53.728,55.776,13.432,200,-,50ce845
hugereg,1048576,4096,4,53.216,54.752,13.304,200,THP,50ce845
device,1048576,4096,5,47.552,48.768,11.888,200,-,50ce845
hostalloc,1048576,4096,5,53.632,54.720,13.408,200,-,50ce845
heapreg,1048576,4096,5,53.568,54.816,13.392,200,-,50ce845
shmreg,1048576,4096,5,53.664,54.752,13.416,200,-,50ce845
hugereg,1048576,4096,5,52.704,54.656,13.176,200,THP,50ce845
